 ;а;б;в;г;д;е;ё;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ь;ы;ъ;э;ю;я; 
й;0.0;0.0;7.034847115185069e-06;0.0;0.0003165681201833281;7.034847115185069e-06;0.0;0.0;7.034847115185069e-06;0.0;0.0;0.00010552270672777604;1.0552270672777604e-05;9.497043605499843e-05;0.00043264309758388176;5.979620047907309e-05;0.0;0.0;0.000453747638929437;0.00042209082691110417;0.0;0.0;0.0;0.00011607497740055364;0.0001020052831701835;0.00011607497740055364;0.0;0.0;0.0;0.0;0.0;0.0;3.5174235575925345e-06;0.006559994934910077
к;0.006816766854614332;3.5174235575925345e-06;0.00017587117787962674;3.5174235575925345e-06;0.0;0.0007562460648823949;0.0;6.683104759425816e-05;2.8139388460740276e-05;0.002113971558113113;0.0;7.034847115185069e-06;0.0007210718293064696;0.0;0.0005205786865236952;0.007917720428140795;0.0;0.0016180148364925658;0.00011959240095814618;0.0008547339244949859;0.001336620951885163;0.0;0.0;1.758711778796267e-05;0.0;1.0552270672777604e-05;0.0;0.0;0.0;0.0;0.00015124921297647898;0.0;0.0;0.004368640058529928
л;0.004319396128723632;4.572650624870295e-05;2.8139388460740276e-05;0.00012662724807333125;1.758711778796267e-05;0.00453747638929437;0.0;0.00040450370912314146;2.110454134555521e-05;0.0069996728796091435;0.0;0.0002743590374922177;0.0002743590374922177;0.0008054899946886904;0.0002884287317225878;0.006197700308478046;1.0552270672777604e-05;0.0;0.001329586104769978;8.793558893981337e-05;0.001269789904290905;1.758711778796267e-05;7.034847115185069e-06;0.0;7.738331826703576e-05;3.5174235575925345e-06;3.5174235575925345e-06;0.0041751817628623384;0.0007351415235368398;0.0;7.034847115185069e-06;0.0008230771124766531;0.001421039117267384;0.00689766759643896
м;0.0018325776735057106;8.441816538222083e-05;0.0;2.4621964903147742e-05;0.0;0.004213873421995857;0.0;0.0;7.034847115185069e-06;0.0026556547859823637;0.0;6.683104759425816e-05;0.00016531890720684913;8.441816538222083e-05;0.0019556874980214494;0.004562098354197517;9.497043605499843e-05;0.00010904013028536858;0.0008723210422829486;4.9243929806295484e-05;0.0019521700744638568;2.110454134555521e-05;0.0;1.4069694230370138e-05;2.110454134555521e-05;0.0;3.5174235575925345e-06;6.331362403666563e-05;0.0016531890720684914;0.0;2.110454134555521e-05;3.5174235575925345e-06;0.0004185734033535116;0.008318706713706344
н;0.010956774381900746;0.0;2.4621964903147742e-05;0.00017587117787962674;0.00051354383940851;0.009620153430015582;0.0;3.5174235575925345e-06;1.4069694230370138e-05;0.006950428949802848;0.0;0.0003165681201833281;7.034847115185069e-06;0.0;0.002631032821079216;0.009957826091544466;1.0552270672777604e-05;0.00033767266152888334;0.0006507233581546189;0.0006542407817122114;0.0022159768412832966;0.0;7.034847115185069e-06;0.000256771919704255;0.00012310982451573871;2.4621964903147742e-05;0.00013717951874610886;0.0010165354081442424;0.0033310001090401304;7.034847115185069e-06;3.5174235575925345e-06;0.00015124921297647898;0.0015371140946679376;0.0044354711061241866
о;1.4069694230370138e-05;0.0037355038181632718;0.005701743586857499;0.004927910404187141;0.003943031808061231;0.0025712366206001426;0.0;0.0019345829566758941;0.0011537149268903513;0.0008652861951677635;0.0032852736027914275;0.002472748760987552;0.006183630614247676;0.005494215596959539;0.006985603185378774;0.00024973707258906994;0.0012838595985212751;0.005022880840242139;0.005687673892627128;0.006535372970006929;0.00019697571922518194;5.627877692148055e-05;0.0004150559797959191;3.869165913351788e-05;0.001966239768694227;0.0008899081600709113;0.0001934582956675894;0.0;0.0;0.0;4.220908269111042e-05;0.0007210718293064696;0.0007281066764216546;0.023503424211833317
п;0.0012029588566966468;0.0;0.0;0.0;0.0;0.001769264049469045;0.0;0.0;0.0;0.0008758384658405411;0.0;5.627877692148055e-05;0.0007984551475735054;0.0;0.0001618014836492566;0.0085754786334106;2.110454134555521e-05;0.006331362403666562;3.5174235575925345e-06;7.034847115185069e-05;0.0008125248418038755;0.0;0.0;0.0;1.758711778796267e-05;3.5174235575925345e-06;0.0;5.276135336388802e-05;0.0002884287317225878;0.0;3.5174235575925345e-06;0.0;0.00018994087210999686;0.0001442143658612939
р;0.006711244147886556;3.517423557592534e-05;0.0005452006514268428;0.00016883633076444167;0.0003165681201833281;0.005469593632056392;0.0;0.0003200855437409206;4.9243929806295484e-05;0.00453747638929437;0.0;0.00019697571922518194;0.00042912567402628925;0.00027084161393462516;0.0009180475485316515;0.00639819345126082;0.00014069694230370137;0.00019697571922518194;0.0003763643206624012;0.0009004604307436888;0.0024305396782964414;1.4069694230370138e-05;0.0001618014836492566;1.4069694230370138e-05;6.331362403666563e-05;0.00024621964903147743;3.5174235575925345e-06;0.0006542407817122114;0.0013014467163092378;3.5174235575925345e-06;4.572650624870295e-05;0.00015828406009166406;0.000861768771610171;0.001625049683607751
с;0.0016039451422621958;6.683104759425816e-05;0.0017481595081234897;1.0552270672777604e-05;0.00030249842595295797;0.003014431988856802;3.5174235575925345e-06;2.110454134555521e-05;7.034847115185069e-06;0.0014491785057281243;0.0;0.0037777129008543823;0.0031480940840453186;0.0008723210422829486;0.001072814185065723;0.0033661743446160557;0.001406969423037014;0.0002251151076859222;0.0008336293831494307;0.011621567434285735;0.0006366536639242487;2.4621964903147742e-05;0.00015124921297647898;2.4621964903147742e-05;0.00030953327306814304;7.386589470944322e-05;1.0552270672777604e-05;0.0026697244802127338;0.00030601584951055053;1.4069694230370138e-05;0.0006401710874818412;0.00016531890720684913;0.003369691768173648;0.0038973053018125283
т;0.005353518654655838;1.758711778796267e-05;0.002328534395126258;4.220908269111042e-05;7.034847115185069e-05;0.005659534504166388;0.0;0.0;0.0;0.00378826517152716;0.0;0.000506508992293325;0.0003165681201833281;4.9243929806295484e-05;0.0013190338340972004;0.013950101829411992;0.0001829060249948118;0.002856147928765138;0.0013506906461155333;0.0001125575538429611;0.001428073964382569;7.034847115185069e-06;1.758711778796267e-05;4.220908269111042e-05;0.0001301446716309238;3.5174235575925345e-06;4.9243929806295484e-05;0.005736917822433424;0.0009426695134347993;1.758711778796267e-05;9.848785961259097e-05;6.683104759425816e-05;0.0004678173331598071;0.0053113095719647275
