 ;а;б;в;г;д;е;ё;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ь;ы;ъ;э;ю;я; 
к;0.006815008142835536;1.7587117787962672e-06;0.0001600427718704603;3.5174235575925345e-06;0.0;0.000736900235315636;0.0;7.034847115185069e-05;2.9898100239536544e-05;0.002099901863882743;0.0;1.4069694230370138e-05;0.0007316240999792472;0.0;0.0005082677040721212;0.007921237851698388;0.0;0.001598669006925807;0.00011607497740055364;0.0008670449069465598;0.0013278273929911819;1.7587117787962672e-06;1.7587117787962672e-06;3.165681201833281e-05;0.0;1.0552270672777604e-05;0.0;0.0;0.0;0.0;0.0001618014836492566;0.0;0.0;0.004282463181368911
л;0.004372157482087521;3.165681201833281e-05;2.4621964903147742e-05;0.00012486853629453497;2.2863253124351474e-05;0.004495267306603259;0.0;0.00037284689710480865;1.934582956675894e-05;0.0071474046690280305;0.0;0.000276117749271014;0.0002532544961466625;0.0008002138593523016;0.000276117749271014;0.006174837055353695;1.4069694230370138e-05;1.7587117787962672e-06;0.0013348622401063669;9.14530124974059e-05;0.0012926531574152566;1.2310982451573871e-05;3.5174235575925345e-06;0.0;7.562460648823949e-05;5.276135336388802e-06;1.7587117787962672e-06;0.004261358640023355;0.0007474525059884136;0.0;5.276135336388802e-06;0.0008476990773798009;0.001480835317746457;0.007094643315664143
м;0.0019222719742243203;6.50723358154619e-05;1.7587117787962672e-06;3.517423557592534e-05;1.7587117787962672e-06;0.00419804501598669;0.0;0.0;7.034847115185069e-06;0.0026081695679548646;0.0;8.265945360342457e-05;0.00017938860143721925;8.793558893981337e-05;0.0020612102047492253;0.00443371239434539;0.00011079884206416483;0.0001301446716309238;0.0008951842954073;5.627877692148055e-05;0.0019961378689337633;2.9898100239536544e-05;0.0;1.934582956675894e-05;2.2863253124351474e-05;0.0;3.5174235575925345e-06;5.100264158509175e-05;0.0016021864304833996;0.0;2.8139388460740276e-05;5.276135336388802e-06;0.000408021132680734;0.008338052543273104
н;0.010664828226620566;1.7587117787962672e-06;1.758711778796267e-05;0.00019697571922518194;0.0005117851276297138;0.009648292818476322;0.0;3.5174235575925345e-06;1.0552270672777604e-05;0.006953946373360441;0.0;0.000276117749271014;5.276135336388802e-06;0.0;0.0025835476030517165;0.01002641585091752;1.934582956675894e-05;0.00034646622042286467;0.0006454472228182301;0.0006401710874818412;0.0022669794828683886;3.5174235575925345e-06;5.276135336388802e-06;0.0002427022254738849;0.00013542080696731258;2.8139388460740276e-05;0.00011783368917934991;0.0010288463905958165;0.003304619432358186;7.034847115185069e-06;1.7587117787962672e-06;0.00014245565408249765;0.0014896288766404384;0.004472404053478908
о;1.0552270672777604e-05;0.003691536023693365;0.005705261010415091;0.004910323286399178;0.004034484820558637;0.0025677191970425502;0.0;0.0020471405105188553;0.0011871304506874804;0.0009391520898772068;0.0032325122494275393;0.0024569203549783853;0.006159008649344528;0.005393969025568152;0.006983844473599977;0.00027084161393462516;0.0012275808215997945;0.00506508992293325;0.005900478017861477;0.006558236223131281;0.00021280412523434834;6.50723358154619e-05;0.0004238495386899004;4.220908269111042e-05;0.0019697571922518194;0.0008564926362737822;0.0002092867016767558;0.0;0.0;0.0;5.627877692148055e-05;0.0007720744708915614;0.0007615222002187838;0.023394384081547946
п;0.0011871304506874804;0.0;0.0;0.0;0.0;0.0018255428263905255;0.0;0.0;0.0;0.0009268411074256329;0.0;7.386589470944322e-05;0.0008195596889190606;1.7587117787962672e-06;0.00018994087210999686;0.00864055096922606;1.5828406009166406e-05;0.006253979085399527;1.7587117787962672e-06;8.09007418246283e-05;0.0007826267415643389;0.0;0.0;0.0;1.4069694230370138e-05;5.276135336388802e-06;0.0;6.331362403666563e-05;0.0002796351728286065;0.0;1.7587117787962672e-06;0.0;0.0001987344310039782;0.00014773178941888645
р;0.006769281636586833;4.045037091231415e-05;0.000539924516090454;0.0001565253483128678;0.0003323965261924945;0.005483663326286761;0.0;0.00030249842595295797;4.220908269111042e-05;0.004491749883045667;0.0;0.00019697571922518194;0.00042033211513230786;0.0002409435136950886;0.0009215649720892441;0.006405228298376005;0.0001459730776400902;0.00020049314278277447;0.0003869165913351788;0.0009110127014164665;0.00240767642517209;1.4069694230370138e-05;0.00013893823052490512;2.2863253124351474e-05;7.562460648823949e-05;0.00025501320792545876;3.5174235575925345e-06;0.0006559994934910077;0.0012785834631848863;1.7587117787962672e-06;4.3967794469906686e-05;0.0001283859598521275;0.0008476990773798009;0.0016531890720684914
с;0.0015687709066862705;5.627877692148055e-05;0.0017252962549991382;1.758711778796267e-05;0.0002884287317225878;0.002965188059050507;1.7587117787962672e-06;2.638067668194401e-05;8.793558893981336e-06;0.0014896288766404384;0.0;0.00378826517152716;0.003250099367215502;0.0008582513480525785;0.00101301798458665;0.0031621637782756886;0.001454454641064513;0.00023039124302231103;0.000861768771610171;0.011405245885493794;0.0006507233581546189;1.934582956675894e-05;0.0001600427718704603;2.8139388460740276e-05;0.0003165681201833281;9.321172427620216e-05;5.276135336388802e-06;0.0026820354626643076;0.00033063781441369826;7.034847115185069e-06;0.000691173729066933;0.00016356019542805285;0.003475214474901424;0.003849820083785029
т;0.005476628479171576;1.758711778796267e-05;0.00230391243022311;3.341552379712908e-05;8.09007418246283e-05;0.005554011797438612;0.0;0.0;1.7587117787962672e-06;0.003797058730421141;0.0;0.0005663051927723981;0.00030249842595295797;4.3967794469906686e-05;0.001250444074724146;0.014083763924600508;0.00017411246610083046;0.0028332846756407865;0.001336620951885163;0.0001020052831701835;0.001514250841543586;8.793558893981336e-06;1.2310982451573871e-05;4.3967794469906686e-05;0.0001442143658612939;5.276135336388802e-06;4.3967794469906686e-05;0.005875856052958329;0.0009690501901167433;2.110454134555521e-05;0.0001283859598521275;6.155491225786936e-05;0.00045550635070823323;0.005188199747448988
у;2.110454134555521e-05;0.0006401710874818412;0.0007509699295460061;0.0010763316086233156;0.001881821603312006;0.00028667001994379156;0.0;0.001183613027129888;0.00041681469157471535;2.110454134555521e-05;0.00011783368917934991;0.000729865388200451;0.001229339533378591;0.0011167819795356298;0.0002919461552801804;8.265945360342457e-05;0.0007738331826703576;0.00039571015022916013;0.001079849032180908;0.001500181147313216;0.0;1.0552270672777604e-05;0.00032536167907730944;0.0;0.000914530124974059;0.00048364573916897353;0.00029898100239536546;0.0;0.0;0.0;1.2310982451573871e-05;0.0009883960196835023;3.517423557592534e-05;0.005967309065455735
ф;0.0001987344310039782;0.0;0.0;1.5828406009166406e-05;0.0;0.0003499836439804572;0.0;0.0;0.0;0.00010376399494897977;0.0;0.0;2.9898100239536544e-05;0.0;8.793558893981336e-06;0.00012486853629453497;0.0;6.155491225786936e-05;1.4069694230370138e-05;1.758711778796267e-05;6.155491225786936e-05;8.969430071860963e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0552270672777604e-05;0.0;1.7587117787962672e-06;1.5828406009166406e-05
х;0.0005768574634451756;0.0;0.0001723537543220342;0.0;0.0;4.9243929806295484e-05;0.0;0.0;0.0;0.00022335639590712595;0.0;1.7587117787962672e-06;0.0001020052831701835;2.110454134555521e-05;0.0001301446716309238;0.002546614655696995;0.0;0.00010376399494897977;3.517423557592534e-05;1.934582956675894e-05;7.034847115185069e-05;0.0;0.0;0.0;1.7587117787962672e-06;1.758711778796267e-05;0.0;0.0;0.0;2.2863253124351474e-05;3.5174235575925345e-06;0.0;0.0;0.0029722229061656916
