 ;а;б;в;г;д;е;ё;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ь;ы;ъ;э;ю;я
м;0.0023936690926162573;0.00044420772079334234;0.0008673629429708865;0.00023578798449694002;0.0006210487091660474;0.005210493407410059;0.0;0.00011578874238689019;0.00022736698505062072;0.003825238998490536;0.0;0.0006105224598581483;0.00037262922549962844;0.0005410492144260141;0.0033936627768666725;0.0060441723525956675;0.0010463091812051714;0.00036420822605330913;0.0020778816133792837;0.0003789449750843679;0.0026841935735142726;6.94732454321341e-05;0.00011157824266373055;3.999974737001661e-05;0.0005052599667791571;4.84207468163359e-05;4.210499723159643e-06;6.105224598581483e-05;0.0019178826238992175;0.0;0.00017684098837270502;1.0526249307899107e-05;0.0007705214493382147
н;0.012806234907990054;0.00037262922549962844;0.000543154464287594;0.000330524228268032;0.0008442051944935084;0.011612558236474295;0.0;4.4210247093176254e-05;0.00015368323989532696;0.008665208430262545;0.0;0.0005199967158102159;4.84207468163359e-05;0.00021894598560430145;0.0036126087624709737;0.012322027439826695;0.0006231539590276272;0.0005094704665023169;0.0013431494116879262;0.000991572684804096;0.0029220868078727925;4.4210247093176254e-05;0.00012210449197162966;0.0002968402304827548;0.0003094717296522338;6.73679955705543e-05;0.00014105174072584804;0.0012315711690241956;0.003955764489908485;8.420999446319287e-06;6.105224598581483e-05;0.00017263048864954537;0.001898935375144999
о;0.00014315699058742786;0.0059410151093782565;0.009663096864651381;0.006286276086677347;0.00613680334650518;0.0037347132544426035;0.0;0.0028631398117485575;0.0022357753529977705;0.002385248093169938;0.0038694492455837123;0.00412628972869645;0.00778731923798376;0.007993633724418582;0.011122035018726198;0.00247998433694103;0.003905238493230569;0.006654694812453816;0.00979572760593091;0.00908204790285535;0.001073677429405709;0.00014947274017216734;0.0007473637008608366;0.0001073677429405709;0.003433662524236689;0.0011305191756683642;0.0002652614825590575;0.0;0.0;0.0;0.0005621017130418124;0.0009284151889567013;0.0016357791424475214
п;0.0014231489064279593;1.263149916947893e-05;1.6841998892638574e-05;2.1052498615798217e-06;1.263149916947893e-05;0.0021873546061814348;0.0;0.0;2.1052498615798217e-06;0.0011242034260836248;0.0;9.263099390951215e-05;0.0009831516853577766;4.210499723159643e-06;0.00025262998338957857;0.010351513569387983;3.5789247646856966e-05;0.007488373757639426;1.8947248754218396e-05;0.00010105199335583143;0.0009452571878493399;2.1052498615798217e-06;8.420999446319287e-06;0.0;2.3157748477378037e-05;8.420999446319287e-06;0.0;7.578899501687358e-05;0.00033473472799119163;0.0;4.210499723159643e-06;0.0;0.00023789323435851985
р;0.008122053965974952;0.00012631499169478929;0.0008210474460161304;0.0004084184731464854;0.00047999696844019935;0.006591537316606421;0.0;0.0003684187257764688;6.94732454321341e-05;0.005469439140384376;0.0;0.00035368197674541003;0.0005284177152565352;0.00045052347037808185;0.0012463079180552543;0.007774687738814281;0.0002884192310364356;0.0002589457329743181;0.0005957857108270895;0.0011284139258067843;0.0029305078073191115;1.8947248754218396e-05;0.00027368248200537683;2.736824820053768e-05;0.00021894598560430145;0.00033473472799119163;4.210499723159643e-06;0.0007852581983692734;0.0015305166493685303;2.1052498615798217e-06;7.999949474003322e-05;0.00015368323989532696;0.0010715721795441291
с;0.0019136721241760578;0.0002463142338048391;0.0025515628322347436;0.00010947299280215072;0.0005684174626265519;0.003648398010117831;2.1052498615798217e-06;0.00012631499169478929;9.263099390951215e-05;0.0019410403723765955;0.0;0.004852600930941489;0.003983132738109022;0.0012547289175015737;0.0017199891369107142;0.004027342985202199;0.0021789336067351154;0.0003515767268838302;0.0014820959025521943;0.013945175083104739;0.0009431519379877601;2.736824820053768e-05;0.00023999848422009967;4.4210247093176254e-05;0.00048420746816335894;0.0001347359911411086;6.315749584739465e-06;0.003210506038909228;0.00039578697397700644;8.420999446319287e-06;0.0009178889396488022;0.00019578823712692342;0.004231552221775441
т;0.0066146950650838;0.00038526072466910734;0.003362084028942975;0.00014105174072584804;0.0003684187257764688;0.006835746300549681;0.0;7.999949474003322e-05;0.00014105174072584804;0.004823127432879371;0.0;0.000955783437157239;0.00047999696844019935;0.00033262947812961183;0.0022484068521672496;0.017208312368553462;0.0006652589562592237;0.003492609520360924;0.0022399858527209302;0.0003789449750843679;0.001983145369608192;4.210499723159643e-05;9.894674349425161e-05;6.526274570897447e-05;0.0005094704665023169;3.157874792369732e-05;5.263124653949554e-05;0.007033639787538184;0.0011599926737304817;2.526299833895786e-05;0.00029473498062117503;7.578899501687358e-05;0.0006357854581971062
у;0.0001242097418332095;0.0009515729374340794;0.0015705163967385468;0.0014020964078121612;0.002524194584034206;0.00047368121885545984;0.0;0.0015263061496453706;0.0006484169573665851;0.0005705227124881316;0.00014105174072584804;0.0012105186704083975;0.0015599901474306478;0.0017284101363570336;0.001261044667086313;0.0005242072155333756;0.0015326218992301101;0.0005789437119344509;0.0018926196255602595;0.002134723359641939;0.00016841998892638572;3.5789247646856966e-05;0.0004652602194091406;0.0;0.0015831478959080257;0.0005978909606886694;0.0003578924764685697;0.0;0.0;0.0;0.00011789399224847001;0.0011873609219310193;0.0002231564853274611
ф;0.00023789323435851985;2.1052498615798217e-06;0.0;1.8947248754218396e-05;0.0;0.0004189447224543845;0.0;0.0;0.0;0.0001242097418332095;0.0;0.0;3.5789247646856966e-05;0.0;1.263149916947893e-05;0.00014947274017216734;2.1052498615798217e-06;7.368374515529376e-05;2.9473498062117503e-05;2.1052498615798214e-05;7.368374515529376e-05;0.0001073677429405709;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.263149916947893e-05;0.0;2.1052498615798217e-06
х;0.0007242059523834587;0.00012210449197162966;0.0004694707191323002;8.420999446319286e-05;0.00020210398671166287;0.00011578874238689019;0.0;3.999974737001661e-05;9.473624377109197e-05;0.0005178914659486362;0.0;0.00019789348698850322;0.00022526173518904092;0.00018736723768060412;0.0004399972210701827;0.0033010317829571603;0.00048420746816335894;0.0002442089839432593;0.00042104997231596434;0.00013263074127952876;0.0001852619878190243;1.8947248754218396e-05;3.5789247646856966e-05;4.210499723159643e-06;6.315749584739464e-05;3.999974737001661e-05;0.0;0.0;0.0;2.736824820053768e-05;2.9473498062117503e-05;0.0;5.473649640107536e-05
