 ;а;б;в;г;д;е;ё;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ь;ы;ъ;э;ю;я
й;0.00011789374405268167;0.0002610504332595094;0.0005305218482370674;0.00016420914350194946;0.0008926240621131611;7.57888354624382e-05;0.0;0.00013473570748877904;0.00020210356123316855;0.00041683859504341016;0.0;0.0005810477385453596;0.00012631472577073036;0.0004926274305058483;0.0010905171324873055;0.0005347323390960918;0.0008084142449326742;0.0002526294515414607;0.0015410396544029102;0.0007284149186112117;0.00013473570748877904;7.999932632146256e-05;0.00010105178061658428;0.00014315668920682773;0.00042525957676145884;0.00020210356123316855;1.684196343609738e-05;0.0;0.0;0.0;7.57888354624382e-05;8.42098171804869e-06;0.00011368325319365731
к;0.008202036193379425;0.0002526294515414607;0.0006568365740077978;6.736785374438952e-05;0.00023999797896438768;0.0008884135712541368;0.0;0.00017684061607902248;0.00018105110693804685;0.0029852380190482607;0.0;0.00037894417731219106;0.000951570934139502;0.0002610504332595094;0.0010442017330380376;0.009536761795690142;0.0003452602504399963;0.0021641923015385135;0.0005936792111224326;0.0012715682394253522;0.0017178802704819328;2.1052454295121725e-05;0.00016420914350194946;2.526294515414607e-05;0.00014736718006585207;5.052589030829214e-05;1.2631472577073035e-05;0.0;0.0;0.0;0.0003452602504399963;0.0;0.0001684196343609738
л;0.005296797500652626;0.0003831546681712154;0.0008084142449326742;0.0002526294515414607;0.0003326287778629233;0.005751530513427255;0.0;0.0005094693939419457;0.00021894552466926594;0.009166238600095999;0.0;0.0007578883546243821;0.0004084176133253615;0.0012884102028614497;0.0011915689131038896;0.008172562757366254;0.0005389428299551162;0.00014315668920682773;0.0023284014450404627;0.00034947074129902065;0.0015999865264292512;4.63153994492678e-05;0.000244208469823412;2.526294515414607e-05;0.0006820995191619439;8.42098171804869e-05;8.42098171804869e-06;0.005082062466842384;0.0009178870072673072;0.0;0.00013473570748877904;0.0010020968244477942;0.002071561502639978
м;0.002391558807925828;0.000475785467069751;0.0009010450438312099;0.00024841896068243636;0.0006568365740077978;0.005157851302304822;0.0;0.00011368325319365731;0.0002147350338102416;0.0037683893188267888;0.0;0.0006063106836995056;0.0003831546681712154;0.0005599952842502379;0.003296814342616062;0.006063106836995057;0.001014728297024867;0.00035368123215804496;0.0021052454295121727;0.00031157632356780155;0.0027620820035199702;7.999932632146256e-05;0.00010947276233463297;3.78944177312191e-05;0.00047157497621072667;5.4736381167316486e-05;4.210490859024345e-06;6.736785374438952e-05;0.0019662992311643692;0.0;0.0001978930703741442;4.210490859024345e-06;0.0007578883546243821
н;0.012997785281808153;0.00034947074129902065;0.0005347323390960918;0.00035368123215804496;0.0008968345529721855;0.011810426859563287;0.0;4.210490859024345e-05;0.00012631472577073036;0.008665190187872103;0.0;0.0005136798848009701;6.315736288536518e-05;0.00023578748810536334;0.0035578647758755717;0.012420948034121818;0.0005810477385453596;0.00046315399449267793;0.0013094626571565713;0.0009473604432804776;0.0029599750738941145;5.052589030829214e-05;0.0001305252166297547;0.00035789172301706933;0.00034947074129902065;6.315736288536518e-05;0.00013894619834780339;0.0013852514926190095;0.004008387297791177;0.0;5.8946872026340834e-05;0.00018105110693804685;0.0018905103957019308
о;0.00011789374405268167;0.006088369782149203;0.009477814923663801;0.006307315306818469;0.006067317327854082;0.0038020732456989837;0.0;0.0028505023115594818;0.002172613283256562;0.0024084007713619255;0.003928387971469714;0.004134702023561906;0.007983090668710158;0.00823572012025162;0.011128327340401345;0.0024715581342472904;0.003839967663430203;0.00668625948413066;0.009852548610116968;0.00915781761837795;0.0010610436964741349;0.00018105110693804685;0.0008084142449326742;0.00011368325319365731;0.0034020766140916707;0.0011494640045136462;0.0002610504332595094;0.0;0.0;0.0;0.000585258229404384;0.0009136765164082829;0.0016041970172882755
п;0.001439987873786326;1.684196343609738e-05;1.684196343609738e-05;0.0;8.42098171804869e-06;0.0022989280090272924;0.0;0.0;0.0;0.0011242010593595002;0.0;9.684128975755994e-05;0.0009347289707034046;0.0;0.00023999797896438768;0.010286229168596474;3.78944177312191e-05;0.007418884893600896;1.684196343609738e-05;9.26307988985356e-05;0.0009178870072673072;4.210490859024345e-06;8.42098171804869e-06;0.0;2.526294515414607e-05;8.42098171804869e-06;0.0;8.842030803951124e-05;0.0003957861407482884;0.0;4.210490859024345e-06;0.0;0.0002063140520921929
р;0.007949406741837963;0.00011789374405268167;0.0007663093363424308;0.0004084176133253615;0.0004336805584795075;0.006555734267500906;0.0;0.0004210490859024345;7.157834460341386e-05;0.005549426952194087;0.0;0.00035368123215804496;0.000585258229404384;0.0004210490859024345;0.0011915689131038896;0.007882038888093574;0.00028210288755463114;0.0002610504332595094;0.0006568365740077978;0.0011073590959234027;0.002976817037330212;2.526294515414607e-05;0.0002736819058365824;3.78944177312191e-05;0.0001978930703741442;0.0003284182870038989;8.42098171804869e-06;0.0008378876809458447;0.0014778822915175452;4.210490859024345e-06;9.684128975755994e-05;0.00014736718006585207;0.0011199905685004758
с;0.0017768271425082735;0.000244208469823412;0.0025431364788507044;0.0001305252166297547;0.0005726267568273109;0.00363365361133801;0.0;0.00014736718006585207;0.00011368325319365731;0.0018905103957019308;0.0;0.004871537923891167;0.004037860733804347;0.0012168318582580356;0.001696827816186811;0.004075755151535566;0.002307348990745341;0.00035368123215804496;0.0014484088555043748;0.013966198179383752;0.0009684128975755993;2.526294515414607e-05;0.00023578748810536334;3.368392687219476e-05;0.00046315399449267793;0.00013473570748877904;4.210490859024345e-06;0.0031789205985633807;0.0003747336864531667;0.0;0.0008884135712541368;0.00019368257951511987;0.004315753130499954
т;0.006736785374438952;0.0004378910493385319;0.003330498269488257;0.00013473570748877904;0.000366312704735118;0.00700625678941651;0.0;0.00010526227147560863;0.0001515776709248764;0.00472838123468434;0.0;0.0009684128975755993;0.0004378910493385319;0.0003621022138760937;0.0021220873929482698;0.01713248730537006;0.0006526260831487735;0.0035957591936067908;0.0022989280090272924;0.0003957861407482884;0.0019999831580365638;4.63153994492678e-05;6.315736288536518e-05;5.4736381167316486e-05;0.0005136798848009701;3.78944177312191e-05;6.315736288536518e-05;0.006896784027081877;0.001111569586782427;3.368392687219476e-05;0.0003326287778629233;6.315736288536518e-05;0.0006315736288536517
