Character;Frequency
се;0.0037139698417676106
ег;0.00360766659048267
ну;0.0024263717105787682
др;0.0013155027346511393
ру;0.00220845004544464
уг;0.0010630325128494055
бе;0.0020901876783901434
ес;0.004301295305116907
сч;0.00028170361590509245
чи;0.0015427259342726998
ис;0.0025991144939167964
сл;0.0027027601639196134
нн;0.0028396255999489743
ны;0.003558501336763385
ые;0.0011773085079807167
пи;0.0009726747492572061
сы;0.0003003066848799571
бы;0.0038162867211293658
ыл;0.0020317208901834264
ви;0.002502112777119288
де;0.0041949920538319665
н ;0.003672777331894696
ль;0.004181704147421349
ьк;0.0010125384684890586
ит;0.004163101078446484
 е;0.0041245661498556935
зо;0.0007095742023269781
ты;0.0013234754784975098
 и;0.010526679458491239
уш;0.0006909711333521136
ши;0.0014071892888844004
ме;0.003760477514204772
ед;0.002771857277254825
ы ;0.0038216018836936126
 ж;0.002328041203140198
рк;0.00020463375872351055
пы;0.0003255537070601304
ли;0.005814787845286248
нц;0.00023253836218580746
це;0.0007893016407906836
тр;0.002858228668923839
ещ;0.0007786713156621895
щу;0.00014085180795254623
ущ;0.0003454855666760568
тв;0.0028489271344364067
аз;0.0031957414917535253
сь;0.002498126405196103
вы;0.002945928851233915
ыд;0.00011826236705449636
рж;0.00019533222423607827
жи;0.0014018741263201536
тя;0.0004796934214232942
яж;0.00012490632025980515
же;0.0039783991793389
ть;0.0061018066237555875
ь ;0.007152880020835437
 э;0.00265492370084139
эт;0.002498126405196103
св;0.0014829303554249208
аю;0.0009341398206664151
ющ;0.00027240208141766014
ще;0.0015480410968369467
ел;0.005630085946178664
ия;0.001360681616447239
вр;0.0006431346702738903
ем;0.0041365252656252495
дл;0.0007494379215588309
 ш;0.0005806815101439877
ше;0.002280204740061975
лк;0.00030296426616208057
ав;0.0024768657549391147
ях;0.0001567972956452873
гр;0.0010085520965658734
кн;0.0005102556061677146
ич;0.001197240367596643
чу;0.0008118910816887335
вш;0.0006550937860434462
их;0.0015812608628634906
мо;0.0035319255239421496
пт;9.833050743857e-05
ти;0.003474787526376494
иц;0.0007241908993786575
зд;0.0007055878304037929
иг;0.0004571039805252444
г ;0.000530187465783641
би;0.0008278365693814746
 я;0.00232936999378126
яп;6.909711333521135e-05
нс;0.0003787053327026007
су;0.0006949575052752989
ун;0.0003255537070601304
нк;0.0002870187784693395
ум;0.0012012267395198283
лт;8.902897295113771e-05
цы;0.00018603068974864595
ек;0.0012065419020840752
ио;0.00012756390154192865
хс;3.321976602654392e-05
иж;0.0002099489212877576
ыв;0.0008902897295113771
ср;0.00017938673654333716
сс;0.0007733561530979425
во;0.006177547690296108
ей;0.002224395533137381
чн;0.0008942761014345624
жу;0.00022589440898049867
уж;0.0015998639318383554
жж;1.4616697051679325e-05
пч;2.2589440898049867e-05
ош;0.0010683476754136526
ыс;0.0006311755545043345
оо;0.00024183989667323974
бр;0.0012703238528550395
зн;0.0019413631265912269
йч;0.00010630325128494054
ып;0.0001169335764134346
